name,scr,naming,conditional,events,loop,proc,lists,dp,sensors,media,social,connect,draw,operator,ui,total
prWebServicesA0318204613,1,2,1,2,3,0,1,0,0,1,0,3,0,3,2,19
prwebviwers0318180142,2,2,0,2,0,0,0,2,0,0,0,0,0,0,2,10
prwhatsinmycab0318233120,2,2,1,2,3,0,2,0,0,0,0,0,0,3,2,17
prWhereAmINow0318174550,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
prWhichsportis0418213421,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3,8
prwificar0218221406,1,2,0,1,0,0,0,0,0,0,0,3,0,0,3,10
prWolframWizar0318203138,1,2,1,1,0,1,1,0,0,0,1,3,0,3,3,17
prWow0218001438,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
prWow0318180448,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
prWow0318195046,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
prWow0318204451,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
prXylophone0218001935,1,0,1,2,0,3,2,0,1,1,0,0,0,3,2,16
prYOUTUBELITE0318104948,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,6
prYoutuberClic0218001230,2,2,3,3,0,0,2,0,1,0,0,0,0,3,3,19
prYoutuberClic0218221636,2,2,3,3,0,0,2,0,1,0,0,0,0,3,3,19
prYoutuberClic0318175728,2,2,3,3,0,0,2,0,1,0,0,0,0,3,3,19
prYoutuberClic0318181216,2,2,3,3,0,0,2,0,1,0,0,0,0,3,3,19
prYoutuberClic0318194928,2,2,3,3,0,0,2,0,1,0,0,0,0,3,3,19
prYoutuberClic0318204741,2,2,3,3,0,0,2,0,1,0,0,0,0,3,3,19
przachpongapp0218221335,1,2,1,3,0,0,0,0,0,0,0,0,3,3,1,14
prZOMBIESURVIV0318110038,2,3,1,3,0,3,1,0,1,2,1,0,3,3,3,26
prZOMBIESURVIV0318121438,2,3,1,3,0,3,1,0,1,2,1,0,3,3,3,26
prZoologico0318175533,3,3,0,2,0,0,0,0,0,3,0,0,0,0,3,14
prZoologico0318175643,2,2,0,0,0,0,0,0,0,3,0,0,0,0,2,9
prZoologico0318175900,2,3,0,2,0,0,0,0,0,3,0,0,0,0,3,13
przoologicoAyY0318174745,3,2,0,1,0,0,0,0,0,2,0,0,0,0,3,11
ShopApp,3,1,3,3,3,3,2,3,1,3,1,1,1,3,3,34
testing_tuples,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,7
tfg_testing,2,2,2,3,0,2,3,0,3,3,1,3,0,3,1,28
tfg_testing_basic,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
tfg_testing_userinterface,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,6
